196/1021 infeasible 0.2s (3, 3) r3c3-r3c2-r3c1-r4c1-r5c1-r5c2
197/1021 infeasible 0.2s (3, 3) r3c3-r3c2-r3c1-r4c1-r5c1-r6c1
198/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r4c1-r5c1-r5c2
199/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r4c1-r5c1-r6c1
200/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r4c3-r5c3-r5c2
201/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r4c3-r5c3-r6c3
202/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r5c2-r5c1-r4c1
203/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r5c2-r5c1-r6c1
204/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r5c2-r5c3-r4c3
205/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r5c2-r5c3-r6c3
206/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r5c2-r6c2-r6c1
207/1021 infeasible 0.2s (2, 4) r3c3-r3c2-r4c2-r5c2-r6c2-r6c3
208/1021 infeasible 0.2s (1, 4, 1) r3c3-r4c3-r4c2-r5c2-r5c3-r5c4
209/1021 infeasible 0.2s (1, 4, 1) r3c3-r4c3-r4c2-r5c2-r6c2-r7c2
210/1021 infeasible 0.2s (1, 4, 1) r3c3-r4c3-r5c3-r5c2-r6c2-r7c2
211/1021 infeasible 0.2s (1, 4, 1) r3c3-r4c3-r5c3-r6c3-r6c2-r7c2
212/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r4c2-r4c1-r5c1
213/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r4c2-r5c2-r5c1
214/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r4c2-r5c2-r5c3
215/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r4c2-r5c2-r6c2
216/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r5c3-r5c2-r4c2
217/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r5c3-r5c2-r5c1
218/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r5c3-r5c2-r6c2
219/1021 infeasible 0.2s (1, 1, 4) r3c4-r3c3-r4c3-r5c3-r6c3-r6c2
220/1021 infeasible 0.2s (4, 2) r3c4-r3c5-r3c6-r2c6-r2c7-r3c7
221/1021 infeasible 0.3s (3, 3) r3c4-r3c5-r3c6-r3c7-r3c8-r3c9
222/1021 infeasible 0.3s (3, 3) r3c5-r3c6-r2c6-r2c7-r2c8-r3c8
223/1021 infeasible 0.2s (3, 3) r3c5-r3c6-r2c6-r2c7-r3c7-r3c8
224/1021 infeasible 0.3s (2, 4) r3c5-r3c6-r3c7-r2c7-r2c8-r3c8
225/1021 infeasible 0.2s (3, 3) r3c6-r2c6-r1c6-r1c7-r2c7-r3c7
226/1021 infeasible 0.2s (2, 4) r3c6-r2c6-r2c7-r2c8-r2c9-r3c9
227/1021 infeasible 0.3s (2, 4) r3c6-r2c6-r2c7-r2c8-r3c8-r3c7
228/1021 infeasible 0.2s (2, 4) r3c6-r2c6-r2c7-r2c8-r3c8-r3c9
229/1021 infeasible 0.3s (2, 4) r3c6-r2c6-r2c7-r3c7-r3c8-r3c9
230/1021 infeasible 0.2s (1, 4, 1) r4c1-r3c1-r2c1-r2c2-r3c2-r4c2
231/1021 infeasible 0.3s (4, 2) r4c1-r4c2-r4c3-r5c3-r5c4-r5c5
232/1021 infeasible 0.3s (4, 2) r4c1-r4c2-r4c3-r5c3-r5c4-r6c4
233/1021 FEASIBLE 0.4s (4, 2) r4c1-r4c2-r5c2-r5c3-r5c4-r5c5
234/1021 FEASIBLE 0.4s (4, 2) r4c1-r4c2-r5c2-r5c3-r5c4-r6c4
235/1021 FEASIBLE 0.5s (4, 2) r4c1-r4c2-r5c2-r6c2-r7c2-r7c1
236/1021 FEASIBLE 0.4s (4, 2) r4c1-r4c2-r5c2-r6c2-r7c2-r7c3
237/1021 FEASIBLE 0.4s (4, 2) r4c1-r4c2-r5c2-r6c2-r7c2-r8c2
238/1021 infeasible 0.3s (4, 2) r4c1-r5c1-r5c2-r5c3-r5c4-r5c5
239/1021 FEASIBLE 0.3s (4, 2) r4c1-r5c1-r5c2-r5c3-r5c4-r6c4
240/1021 FEASIBLE 0.3s (4, 2) r4c1-r5c1-r5c2-r6c2-r7c2-r7c1
241/1021 FEASIBLE 0.3s (4, 2) r4c1-r5c1-r5c2-r6c2-r7c2-r7c3
242/1021 FEASIBLE 0.5s (4, 2) r4c1-r5c1-r5c2-r6c2-r7c2-r8c2
243/1021 FEASIBLE 0.4s (4, 2) r4c1-r5c1-r6c1-r6c2-r7c2-r7c1
244/1021 FEASIBLE 0.4s (4, 2) r4c1-r5c1-r6c1-r6c2-r7c2-r7c3
245/1021 FEASIBLE 0.3s (4, 2) r4c1-r5c1-r6c1-r6c2-r7c2-r8c2
246/1021 FEASIBLE 1.2s (3, 3) r4c1-r5c1-r6c1-r7c1-r7c2-r7c3
247/1021 FEASIBLE 0.6s (3, 3) r4c1-r5c1-r6c1-r7c1-r7c2-r8c2
248/1021 FEASIBLE 0.8s (3, 3) r4c1-r5c1-r6c1-r7c1-r8c1-r8c2
249/1021 infeasible 0.4s (3, 3) r4c1-r5c1-r6c1-r7c1-r8c1-r9c1
250/1021 FEASIBLE 0.4s (4, 2) r4c2-r4c1-r5c1-r6c1-r7c1-r7c2
251/1021 FEASIBLE 0.4s (4, 2) r4c2-r4c1-r5c1-r6c1-r7c1-r8c1
252/1021 FEASIBLE 0.7s (3, 3) r4c2-r4c3-r5c3-r5c4-r5c5-r5c6
253/1021 infeasible 0.4s (3, 3) r4c2-r4c3-r5c3-r5c4-r5c5-r6c5
254/1021 infeasible 0.3s (3, 3) r4c2-r4c3-r5c3-r5c4-r6c4-r6c5
255/1021 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r6c4-r5c4
256/1021 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r6c4-r6c5
257/1021 infeasible 0.8s (4, 1, 1) r4c2-r4c3-r5c3-r6c3-r6c4-r7c4
258/1021 infeasible 0.2s (4, 2) r4c2-r4c3-r5c3-r6c3-r7c3-r7c2
259/1021 infeasible 0.2s (4, 1, 1) r4c2-r4c3-r5c3-r6c3-r7c3-r7c4
